@relation 'bank-full-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R13-15-precision6-weka.filters.unsupervised.attribute.Remove-R5,12-weka.filters.unsupervised.instance.Resample-S1-Z90.0-no-replacement'

@attribute age {0_30,30_60,60_max}
@attribute job {management,technician,entrepreneur,blue-collar,unknown,retired,admin.,services,self-employed,unemployed,housemaid,student}
@attribute marital {married,single,divorced}
@attribute education {tertiary,secondary,unknown,primary}
@attribute balance {-10000_14010,14010_36039,36039_58068,58068_80097,80097_max}
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute campaign {0_21,21_42,42_max}
@attribute pdays {-1_289,289_580,580_max}
@attribute previous {0_91,91_183,183_max}
@attribute poutcome {unknown,failure,other,success}
@attribute y {no,yes}

@data
0_30,blue-collar,single,secondary,-10000_14010,yes,no,unknown,19,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,secondary,-10000_14010,no,no,unknown,20,jun,0_21,-1_289,0_91,unknown,no
0_30,student,single,secondary,-10000_14010,no,yes,cellular,5,feb,0_21,-1_289,0_91,other,no
0_30,management,single,secondary,-10000_14010,yes,no,cellular,20,nov,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,secondary,-10000_14010,yes,yes,cellular,31,jul,0_21,-1_289,0_91,unknown,no
60_max,retired,married,tertiary,-10000_14010,no,no,cellular,30,jun,0_21,-1_289,0_91,unknown,no
30_60,unemployed,married,primary,-10000_14010,yes,no,cellular,2,feb,0_21,-1_289,0_91,unknown,no
30_60,unemployed,married,primary,-10000_14010,yes,no,unknown,29,may,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,yes,no,cellular,17,apr,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,yes,no,cellular,14,may,0_21,-1_289,0_91,unknown,no
0_30,services,married,primary,-10000_14010,no,yes,cellular,9,jul,0_21,-1_289,0_91,unknown,no
30_60,management,married,tertiary,-10000_14010,yes,no,cellular,8,aug,0_21,-1_289,0_91,unknown,no
0_30,services,single,secondary,-10000_14010,no,no,cellular,7,jul,0_21,-1_289,0_91,unknown,no
30_60,unemployed,married,tertiary,-10000_14010,no,no,cellular,28,jan,0_21,-1_289,0_91,unknown,no
0_30,technician,married,secondary,-10000_14010,no,no,cellular,24,jul,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,no,no,cellular,4,may,0_21,-1_289,0_91,unknown,no
0_30,unemployed,married,secondary,-10000_14010,yes,yes,cellular,17,nov,0_21,-1_289,0_91,unknown,no
0_30,student,single,secondary,-10000_14010,no,no,cellular,21,aug,0_21,-1_289,0_91,other,yes
0_30,services,married,secondary,-10000_14010,yes,no,cellular,12,may,0_21,-1_289,0_91,unknown,yes
0_30,technician,married,secondary,-10000_14010,yes,yes,cellular,11,aug,0_21,-1_289,0_91,unknown,no
30_60,technician,married,secondary,-10000_14010,no,no,unknown,18,jun,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,no,no,cellular,7,aug,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,divorced,primary,-10000_14010,no,yes,cellular,16,jul,0_21,-1_289,0_91,unknown,no
30_60,retired,married,tertiary,-10000_14010,no,no,cellular,25,aug,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,married,primary,-10000_14010,yes,no,cellular,21,jul,0_21,-1_289,0_91,unknown,no
30_60,services,divorced,secondary,-10000_14010,no,no,cellular,25,jul,0_21,-1_289,0_91,unknown,no
0_30,admin.,married,secondary,-10000_14010,yes,yes,unknown,28,may,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,no,no,cellular,19,aug,0_21,-1_289,0_91,unknown,no
0_30,management,single,secondary,-10000_14010,yes,yes,cellular,28,jul,0_21,-1_289,0_91,unknown,no
30_60,technician,married,secondary,-10000_14010,yes,no,unknown,5,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,secondary,-10000_14010,yes,no,unknown,2,jun,0_21,-1_289,0_91,unknown,no
30_60,services,divorced,secondary,-10000_14010,no,no,cellular,18,aug,0_21,-1_289,0_91,unknown,no
0_30,services,married,secondary,-10000_14010,yes,no,cellular,18,nov,0_21,-1_289,0_91,unknown,no
0_30,technician,married,secondary,-10000_14010,yes,yes,cellular,18,nov,0_21,-1_289,0_91,failure,no
0_30,blue-collar,married,secondary,-10000_14010,yes,no,cellular,29,jan,0_21,-1_289,0_91,failure,no
0_30,blue-collar,married,primary,-10000_14010,yes,no,unknown,7,may,0_21,-1_289,0_91,unknown,no
0_30,housemaid,married,secondary,-10000_14010,yes,no,unknown,3,jun,0_21,-1_289,0_91,unknown,no
30_60,self-employed,married,secondary,-10000_14010,no,yes,unknown,26,jun,0_21,-1_289,0_91,unknown,no
0_30,technician,single,tertiary,-10000_14010,no,no,cellular,19,aug,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,primary,-10000_14010,yes,no,cellular,2,feb,0_21,-1_289,0_91,unknown,no
0_30,services,single,secondary,-10000_14010,yes,no,cellular,18,may,0_21,289_580,0_91,other,no
30_60,management,married,secondary,-10000_14010,no,no,telephone,21,nov,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,no,no,cellular,20,apr,0_21,289_580,0_91,other,no
60_max,retired,married,secondary,-10000_14010,no,no,telephone,23,apr,0_21,-1_289,0_91,unknown,yes
30_60,retired,married,secondary,-10000_14010,yes,no,unknown,29,may,0_21,-1_289,0_91,unknown,no
30_60,management,married,secondary,-10000_14010,no,no,cellular,5,apr,0_21,-1_289,0_91,other,no
0_30,management,single,tertiary,-10000_14010,yes,no,cellular,7,jul,0_21,-1_289,0_91,success,no
0_30,blue-collar,married,primary,-10000_14010,yes,no,unknown,20,jun,0_21,-1_289,0_91,unknown,no
60_max,retired,married,tertiary,-10000_14010,no,no,cellular,18,sep,0_21,-1_289,0_91,other,yes
0_30,management,married,tertiary,-10000_14010,yes,no,cellular,20,nov,0_21,-1_289,0_91,unknown,no
30_60,housemaid,married,secondary,-10000_14010,yes,no,cellular,28,apr,0_21,-1_289,0_91,success,yes
30_60,technician,single,tertiary,-10000_14010,no,no,telephone,28,aug,0_21,-1_289,0_91,unknown,no
0_30,management,divorced,tertiary,-10000_14010,no,no,cellular,8,sep,0_21,-1_289,0_91,success,yes
30_60,admin.,married,secondary,-10000_14010,yes,no,unknown,16,jun,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,yes,no,cellular,18,aug,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,no,no,cellular,14,jul,0_21,-1_289,0_91,unknown,no
30_60,management,divorced,tertiary,-10000_14010,no,no,cellular,28,aug,0_21,-1_289,0_91,unknown,no
30_60,technician,married,secondary,-10000_14010,no,no,cellular,20,aug,0_21,-1_289,0_91,unknown,no
0_30,entrepreneur,married,secondary,-10000_14010,yes,yes,cellular,25,jul,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,married,primary,-10000_14010,yes,no,cellular,13,may,0_21,-1_289,0_91,unknown,no
30_60,management,married,tertiary,-10000_14010,no,no,unknown,13,may,0_21,-1_289,0_91,unknown,no
30_60,services,married,secondary,-10000_14010,yes,no,unknown,15,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,secondary,-10000_14010,yes,yes,unknown,27,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,primary,-10000_14010,yes,no,unknown,16,jun,0_21,-1_289,0_91,unknown,no
30_60,housemaid,married,primary,-10000_14010,yes,no,telephone,15,may,0_21,289_580,0_91,failure,no
0_30,technician,single,secondary,-10000_14010,yes,yes,cellular,5,feb,0_21,-1_289,0_91,unknown,no
30_60,management,single,tertiary,-10000_14010,no,no,cellular,26,aug,0_21,-1_289,0_91,unknown,yes
30_60,management,married,tertiary,-10000_14010,no,no,cellular,19,nov,0_21,-1_289,0_91,unknown,no
30_60,unknown,married,primary,-10000_14010,no,no,cellular,11,aug,0_21,-1_289,0_91,unknown,no
0_30,services,single,secondary,-10000_14010,yes,no,cellular,15,apr,0_21,-1_289,0_91,unknown,no
0_30,services,married,secondary,-10000_14010,yes,no,cellular,21,nov,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,secondary,-10000_14010,no,yes,cellular,8,jul,0_21,-1_289,0_91,unknown,no
0_30,technician,single,tertiary,-10000_14010,yes,no,cellular,28,jan,0_21,-1_289,0_91,unknown,no
0_30,technician,married,secondary,-10000_14010,no,no,cellular,18,aug,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,14010_36039,no,no,cellular,25,aug,0_21,-1_289,0_91,unknown,no
0_30,services,married,tertiary,-10000_14010,no,no,unknown,19,jun,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,tertiary,-10000_14010,no,no,unknown,20,jun,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,secondary,-10000_14010,yes,no,unknown,15,may,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,married,secondary,-10000_14010,no,yes,cellular,9,jul,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,secondary,-10000_14010,no,yes,cellular,31,jul,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,divorced,primary,-10000_14010,yes,no,cellular,12,may,0_21,-1_289,0_91,unknown,yes
30_60,self-employed,married,tertiary,-10000_14010,yes,no,cellular,17,nov,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,married,secondary,-10000_14010,yes,no,unknown,20,may,0_21,-1_289,0_91,unknown,no
30_60,unemployed,married,tertiary,-10000_14010,no,no,unknown,20,jun,0_21,-1_289,0_91,unknown,no
0_30,technician,single,secondary,-10000_14010,no,no,cellular,20,nov,0_21,-1_289,0_91,success,no
30_60,admin.,single,secondary,-10000_14010,yes,no,unknown,15,may,0_21,-1_289,0_91,unknown,no
0_30,technician,married,secondary,-10000_14010,yes,yes,cellular,15,jul,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,secondary,-10000_14010,yes,no,unknown,1,jul,0_21,-1_289,0_91,unknown,yes
0_30,services,single,secondary,-10000_14010,no,no,cellular,15,feb,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,yes,yes,unknown,16,may,0_21,-1_289,0_91,unknown,no
0_30,admin.,married,secondary,-10000_14010,yes,no,unknown,4,jun,0_21,-1_289,0_91,unknown,no
0_30,technician,single,secondary,-10000_14010,yes,no,cellular,13,may,0_21,289_580,0_91,failure,no
0_30,management,divorced,tertiary,-10000_14010,no,no,unknown,12,jun,0_21,-1_289,0_91,unknown,no
0_30,housemaid,married,secondary,-10000_14010,no,no,unknown,11,jun,0_21,-1_289,0_91,unknown,no
30_60,services,married,secondary,-10000_14010,yes,no,unknown,29,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,tertiary,-10000_14010,no,no,cellular,14,oct,0_21,-1_289,0_91,failure,no
30_60,admin.,single,secondary,-10000_14010,yes,yes,cellular,12,may,0_21,-1_289,0_91,unknown,no
30_60,management,married,tertiary,-10000_14010,no,no,unknown,24,jun,0_21,-1_289,0_91,unknown,no
30_60,management,married,tertiary,-10000_14010,yes,no,cellular,11,may,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,no,no,cellular,1,jun,0_21,-1_289,0_91,other,yes
0_30,technician,married,secondary,-10000_14010,yes,no,cellular,17,nov,0_21,-1_289,0_91,failure,no
30_60,services,married,secondary,-10000_14010,no,no,telephone,29,jul,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,secondary,-10000_14010,yes,no,unknown,13,may,0_21,-1_289,0_91,unknown,no
0_30,housemaid,married,primary,-10000_14010,no,no,unknown,6,jun,0_21,-1_289,0_91,unknown,no
30_60,retired,married,primary,-10000_14010,no,no,cellular,1,sep,0_21,-1_289,0_91,unknown,yes
0_30,management,single,tertiary,-10000_14010,no,no,cellular,25,jan,0_21,-1_289,0_91,success,no
0_30,management,married,tertiary,-10000_14010,yes,no,cellular,6,may,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,unknown,-10000_14010,no,no,cellular,13,may,0_21,-1_289,0_91,unknown,no
30_60,entrepreneur,married,secondary,-10000_14010,yes,no,cellular,22,jul,0_21,-1_289,0_91,unknown,no
0_30,services,divorced,secondary,-10000_14010,yes,no,cellular,21,jul,0_21,-1_289,0_91,unknown,no
0_30,admin.,single,secondary,-10000_14010,yes,no,cellular,7,jul,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,primary,-10000_14010,yes,no,cellular,20,apr,0_21,-1_289,0_91,failure,no
0_30,housemaid,married,primary,-10000_14010,yes,no,cellular,9,jul,0_21,-1_289,0_91,unknown,no
0_30,management,married,secondary,-10000_14010,yes,yes,cellular,17,nov,0_21,-1_289,0_91,unknown,yes
0_30,management,single,unknown,-10000_14010,no,yes,cellular,8,jul,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,no,no,cellular,18,nov,0_21,-1_289,0_91,failure,no
0_30,management,married,tertiary,-10000_14010,yes,no,unknown,5,jun,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,secondary,-10000_14010,no,no,telephone,30,oct,0_21,-1_289,0_91,unknown,yes
0_30,student,single,tertiary,-10000_14010,no,no,cellular,16,aug,0_21,-1_289,0_91,other,no
0_30,admin.,single,secondary,-10000_14010,yes,yes,cellular,8,apr,0_21,-1_289,0_91,unknown,no
30_60,unemployed,married,secondary,-10000_14010,no,no,cellular,10,mar,0_21,-1_289,0_91,success,yes
0_30,management,married,tertiary,-10000_14010,yes,yes,cellular,21,nov,0_21,-1_289,0_91,unknown,no
30_60,entrepreneur,married,tertiary,-10000_14010,yes,no,unknown,16,jun,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,divorced,secondary,-10000_14010,no,no,unknown,16,jun,0_21,-1_289,0_91,unknown,no
30_60,management,single,secondary,-10000_14010,no,no,telephone,4,jun,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,single,unknown,-10000_14010,yes,no,unknown,14,may,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,primary,-10000_14010,no,no,cellular,5,aug,0_21,-1_289,0_91,unknown,no
0_30,management,divorced,tertiary,-10000_14010,no,no,cellular,11,aug,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,married,primary,-10000_14010,yes,no,unknown,4,jun,0_21,-1_289,0_91,unknown,no
0_30,blue-collar,single,primary,-10000_14010,yes,no,cellular,30,apr,0_21,289_580,0_91,failure,no
0_30,blue-collar,married,secondary,-10000_14010,no,no,unknown,18,jun,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,single,secondary,-10000_14010,yes,no,cellular,8,jul,0_21,-1_289,0_91,unknown,no
0_30,self-employed,married,tertiary,-10000_14010,no,no,cellular,4,feb,0_21,-1_289,0_91,unknown,yes
0_30,services,married,secondary,-10000_14010,yes,no,cellular,20,apr,0_21,-1_289,0_91,unknown,no
0_30,management,single,tertiary,-10000_14010,yes,no,cellular,19,nov,0_21,-1_289,0_91,unknown,no
0_30,technician,married,secondary,-10000_14010,yes,no,cellular,8,aug,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,no,no,cellular,14,aug,0_21,-1_289,0_91,unknown,no
0_30,entrepreneur,married,tertiary,-10000_14010,no,yes,cellular,15,jul,0_21,-1_289,0_91,unknown,no
30_60,admin.,married,secondary,-10000_14010,no,no,cellular,22,aug,0_21,-1_289,0_91,unknown,no
0_30,management,divorced,tertiary,-10000_14010,yes,no,cellular,29,jan,0_21,-1_289,0_91,failure,no
30_60,admin.,divorced,secondary,-10000_14010,yes,no,cellular,14,may,0_21,289_580,0_91,failure,no
30_60,blue-collar,married,secondary,-10000_14010,yes,no,cellular,4,may,0_21,-1_289,0_91,unknown,yes
0_30,blue-collar,married,secondary,-10000_14010,yes,no,cellular,24,jul,0_21,-1_289,0_91,unknown,no
30_60,blue-collar,married,secondary,-10000_14010,yes,no,cellular,15,may,0_21,289_580,0_91,failure,yes
30_60,unemployed,single,tertiary,-10000_14010,no,no,cellular,21,nov,0_21,-1_289,0_91,unknown,no
0_30,management,married,tertiary,-10000_14010,yes,no,cellular,22,jul,0_21,-1_289,0_91,unknown,no
