@relation raw_sales

@attribute datesold date dd-MM-yyyy
@attribute postcode numeric
@attribute price numeric
@attribute propertyType {house,unit}
@attribute bedrooms numeric

@data
07-02-2008,2905,360000,house,3
08-02-2008,2617,395000,house,3
09-02-2008,2906,417000,house,3
11-02-2008,2617,416000,house,4
12-02-2008,2902,749000,house,4
15-02-2008,2904,575000,house,4
16-02-2008,2611,610000,house,5
19-02-2008,2615,445000,house,4
21-02-2008,2611,655000,house,5
23-02-2008,2617,500000,house,4
27-02-2008,2904,590000,house,4
29-02-2008,2906,342000,house,3
13-03-2008,2611,646000,house,4
14-03-2008,2615,655000,house,4
15-03-2008,2602,580000,house,3
19-03-2008,2615,405000,house,3
20-03-2008,2611,695000,house,4
09-04-2008,2906,420000,house,4
10-04-2008,2906,380000,house,3
11-04-2008,2906,334000,house,3
14-04-2008,2604,522500,house,3
15-04-2008,2904,679000,house,5
18-04-2008,2602,467000,house,3
21-04-2008,2906,649000,house,5
22-04-2008,2902,675000,house,4
23-04-2008,2905,415000,house,3
24-04-2008,2600,292500,house,1
29-04-2008,2602,680000,house,4
30-04-2008,2602,485000,house,3
01-05-2008,2617,640000,house,4
02-05-2008,2906,332000,house,2
05-05-2008,2604,575000,house,2
09-05-2008,2611,465000,house,3
12-05-2008,2906,635000,house,5
13-05-2008,2906,307000,house,2
14-05-2008,2611,450000,house,3
16-05-2008,2902,442000,house,3
17-05-2008,2602,865000,house,5
19-05-2008,2905,430000,house,4
23-05-2008,2905,444000,house,3
27-05-2008,2607,535000,house,3
28-05-2008,2611,542000,house,4
30-05-2008,2906,357000,house,3
02-06-2008,2611,429000,house,3
03-06-2008,2615,375000,house,4
06-06-2008,2605,526000,house,3
10-06-2008,2611,447250,house,3
11-06-2008,2615,360100,house,4
13-06-2008,2905,365000,house,3
14-06-2008,2903,419000,house,4
17-06-2008,2906,340000,house,3
18-06-2008,2615,362000,house,4
19-06-2008,2600,765000,house,5
20-06-2008,2904,469000,house,4
23-06-2008,2913,367000,house,3
24-06-2008,2905,465000,house,4
25-06-2008,2906,375000,house,3
26-06-2008,2913,325000,house,3
27-06-2008,2617,421000,house,3
29-06-2008,2615,522500,house,4
30-06-2008,2604,480000,house,2
01-07-2008,2904,670000,house,4
04-07-2008,2905,375000,house,3
07-07-2008,2614,392500,house,4
08-07-2008,2611,383000,house,3
10-07-2008,2906,418000,house,3
11-07-2008,2611,418000,house,3
14-07-2008,2905,360000,house,3
16-07-2008,2602,468000,house,3
17-07-2008,2607,558000,house,4
18-07-2008,2614,700000,house,3
19-07-2008,2905,320000,house,3
23-07-2008,2617,415000,house,3
25-07-2008,2615,370000,house,4
26-07-2008,2605,564000,house,3
28-07-2008,2905,365000,house,3
29-07-2008,2600,927000,house,4
30-07-2008,2617,360000,house,3
31-07-2008,2615,440000,house,4
01-08-2008,2611,430000,house,3
04-08-2008,2617,365000,house,3
05-08-2008,2906,359000,house,3
06-08-2008,2615,315000,house,3
07-08-2008,2615,395000,house,4
09-08-2008,2617,370000,house,3
11-08-2008,2615,405000,house,4
12-08-2008,2605,548000,house,3
13-08-2008,2615,405000,house,4
14-08-2008,2611,350000,house,2
15-08-2008,2906,365000,house,3
18-08-2008,2615,279500,house,2
19-08-2008,2615,330000,house,3
20-08-2008,2611,405000,house,3
21-08-2008,2913,395000,house,3
22-08-2008,2605,495000,house,4
23-08-2008,2607,630000,house,4
25-08-2008,2913,400000,house,3
27-08-2008,2614,345000,house,3
28-08-2008,2905,310000,house,3
29-08-2008,2906,370000,house,4
30-08-2008,2905,342000,house,3
01-09-2008,2903,380000,house,3
02-09-2008,2906,345000,house,3
03-09-2008,2615,372000,house,3
04-09-2008,2913,335000,house,3
05-09-2008,2615,387000,house,3
08-09-2008,2615,349000,house,3
10-09-2008,2614,371600,house,4
11-09-2008,2607,380000,house,3
12-09-2008,2617,427000,house,4
13-09-2008,2913,477000,house,4
15-09-2008,2905,321000,house,2
16-09-2008,2614,357000,house,3
17-09-2008,2615,343000,house,3
18-09-2008,2913,320000,house,3
19-09-2008,2913,460000,house,3
20-09-2008,2617,346000,house,3
22-09-2008,2615,349950,house,3
23-09-2008,2906,372000,house,3
24-09-2008,2606,437000,house,3
25-09-2008,2607,411000,house,3
26-09-2008,2913,312000,house,3
29-09-2008,2617,380000,house,4
30-09-2008,2913,367500,house,4
01-10-2008,2904,455000,house,4
02-10-2008,2904,390000,house,3
03-10-2008,2906,332000,house,3
07-10-2008,2903,355000,house,3
08-10-2008,2614,347000,house,3
09-10-2008,2904,338500,house,3
10-10-2008,2614,378000,house,3
12-10-2008,2906,390000,house,3
13-10-2008,2611,435000,house,3
14-10-2008,2905,350000,house,3
15-10-2008,2611,395000,house,3
16-10-2008,2914,375000,house,3
17-10-2008,2617,352000,house,3
18-10-2008,2604,342000,house,2
20-10-2008,2902,349000,house,3
21-10-2008,2615,342000,house,3
22-10-2008,2614,370000,house,3
23-10-2008,2617,340000,house,3
24-10-2008,2913,361000,house,3
27-10-2008,2902,330250,house,3
28-10-2008,2912,340000,house,2
29-10-2008,2906,420000,house,4
30-10-2008,2906,585000,house,4
31-10-2008,2615,372000,house,3
03-11-2008,2902,330000,house,3
05-11-2008,2905,359950,house,3
06-11-2008,2611,345000,house,2
07-11-2008,2906,360000,house,3
10-11-2008,2906,357000,house,3
11-11-2008,2906,324000,house,3
12-11-2008,2913,342500,house,3
13-11-2008,2902,375000,house,3
14-11-2008,2905,385000,house,3
15-11-2008,2617,380000,house,3
17-11-2008,2615,350000,house,4
18-11-2008,2611,455000,house,4
19-11-2008,2905,348000,house,3
20-11-2008,2615,450000,house,3
21-11-2008,2913,350000,house,3
22-11-2008,2902,510000,house,4
24-11-2008,2904,387000,house,4
25-11-2008,2912,490000,house,4
26-11-2008,2905,326000,house,3
27-11-2008,2906,327500,house,3
28-11-2008,2906,322500,house,3
29-11-2008,2611,375000,house,3
01-12-2008,2905,327500,house,3
02-12-2008,2905,320000,house,3
03-12-2008,2912,301000,house,3
04-12-2008,2902,340000,house,3
05-12-2008,2905,299000,house,3
06-12-2008,2615,378250,house,3
08-12-2008,2615,314000,house,3
09-12-2008,2904,490000,house,4
10-12-2008,2906,335000,house,3
11-12-2008,2615,520000,house,4
12-12-2008,2906,351000,house,4
13-12-2008,2603,775000,house,4
15-12-2008,2615,360000,house,3
16-12-2008,2906,362500,house,3
17-12-2008,2913,378500,house,3
18-12-2008,2903,416500,house,3
19-12-2008,2905,339950,house,3
20-12-2008,2606,495000,house,3
22-12-2008,2617,379000,house,3
23-12-2008,2906,355000,house,3
24-12-2008,2614,310000,house,2
06-01-2009,2617,342500,house,3
07-01-2009,2602,420000,house,3
08-01-2009,2615,394000,house,3
09-01-2009,2611,383000,house,3
10-01-2009,2914,585000,house,4
12-01-2009,2617,340500,house,3
13-01-2009,2615,420000,house,3
14-01-2009,2615,315000,house,3
15-01-2009,2905,330000,house,3
16-01-2009,2905,319950,house,3
19-01-2009,2617,400000,house,3
20-01-2009,2913,392000,house,3
21-01-2009,2906,570000,house,4
22-01-2009,2905,308000,house,3
23-01-2009,2615,315000,house,3
27-01-2009,2615,327000,house,3
28-01-2009,2615,325000,house,3
29-01-2009,2905,341000,house,3
30-01-2009,2902,450000,house,3
31-01-2009,2900,440000,house,3
02-02-2009,2913,500000,house,5
03-02-2009,2913,335000,house,2
04-02-2009,2913,370000,house,3
05-02-2009,2906,340000,house,3
06-02-2009,2906,339000,house,3
07-02-2009,2611,512000,house,3
09-02-2009,2905,395000,house,4
10-02-2009,2913,335000,house,3
11-02-2009,2905,100000,house,3
12-02-2009,2906,347500,house,3
13-02-2009,2905,362000,house,3
14-02-2009,2602,456000,house,3
16-02-2009,2913,355000,house,3
17-02-2009,2914,355000,house,3
18-02-2009,2602,513000,house,4
19-02-2009,2904,370000,house,3
20-02-2009,2617,405000,house,4
21-02-2009,2604,690000,house,4
23-02-2009,2905,362000,house,3
24-02-2009,2905,360000,house,3
25-02-2009,2603,1580000,house,4
26-02-2009,2615,390000,house,3
27-02-2009,2912,476000,house,4
28-02-2009,2617,400000,house,3
02-03-2009,2611,460000,house,4
03-03-2009,2615,283000,house,3
04-03-2009,2906,347500,house,3
05-03-2009,2615,399000,house,3
06-03-2009,2906,309950,house,3
07-03-2009,2902,417000,house,3
10-03-2009,2611,398000,house,3
11-03-2009,2913,308000,house,2
12-03-2009,2906,359950,house,3
13-03-2009,2905,295000,house,3
14-03-2009,2906,500000,house,5
16-03-2009,2906,392500,house,3
17-03-2009,2905,352000,house,3
18-03-2009,2904,370000,house,3
19-03-2009,2906,370000,house,3
20-03-2009,2617,370000,house,3
22-03-2009,2615,438000,house,4
23-03-2009,2905,360000,house,3
24-03-2009,2906,406000,house,4
25-03-2009,2905,360000,house,3
26-03-2009,2913,320000,house,3
27-03-2009,2617,353000,house,3
28-03-2009,2617,461000,house,3
30-03-2009,2904,356500,house,3
31-03-2009,2615,435000,house,4
01-04-2009,2615,288000,house,3
02-04-2009,2906,326000,house,3
03-04-2009,2900,345000,house,3
04-04-2009,2607,517000,house,3
06-04-2009,2913,360000,house,3
07-04-2009,2913,375500,house,3
08-04-2009,2611,460000,house,4
09-04-2009,2906,353500,house,3
14-04-2009,2906,420000,house,3
15-04-2009,2906,315000,house,2
16-04-2009,2617,425000,house,3
17-04-2009,2905,358000,house,3
18-04-2009,2617,575000,house,4
20-04-2009,2902,370000,house,3
21-04-2009,2614,355000,house,3
22-04-2009,2905,415000,house,3
23-04-2009,2615,335000,house,3
24-04-2009,2913,336000,house,2
28-04-2009,2906,300000,house,3
29-04-2009,2611,391000,house,3
01-05-2009,2617,370000,house,3
04-05-2009,2906,340000,house,3
05-05-2009,2906,368500,house,3
06-05-2009,2607,490000,house,3
07-05-2009,2905,320000,house,3
08-05-2009,2615,395000,house,3
09-05-2009,2913,401000,house,3
11-05-2009,2906,315000,house,3
12-05-2009,2615,458000,house,4
13-05-2009,2906,387000,house,3
14-05-2009,2906,450000,house,4
15-05-2009,2906,350000,house,2
16-05-2009,2605,540000,house,3
18-05-2009,2905,352500,house,3
19-05-2009,2617,367000,house,3
20-05-2009,2905,367000,house,3
21-05-2009,2902,365000,house,3
22-05-2009,2611,387500,house,3
23-05-2009,2913,357000,house,3
25-05-2009,2903,390000,house,3
26-05-2009,2902,455000,house,3
27-05-2009,2904,410000,house,3
28-05-2009,2913,420000,house,3
29-05-2009,2903,390000,house,3
30-05-2009,2617,459000,house,3
01-06-2009,2902,420000,house,3
02-06-2009,2906,578000,house,4
03-06-2009,2615,375000,house,3
04-06-2009,2617,419000,house,3
05-06-2009,2906,357000,house,3
09-06-2009,2905,445000,house,4
10-06-2009,2617,378000,house,3
11-06-2009,2906,391000,house,3
12-06-2009,2617,405000,house,3
13-06-2009,2615,383000,house,3
15-06-2009,2905,410000,house,3
16-06-2009,2914,435000,house,4
17-06-2009,2906,373000,house,3
18-06-2009,2906,400500,house,3
19-06-2009,2913,620000,house,4
22-06-2009,2906,329400,house,3
23-06-2009,2617,415100,house,3
24-06-2009,2905,430000,house,3
25-06-2009,2905,375500,house,2
26-06-2009,2903,380000,house,3
27-06-2009,2902,405000,house,3
29-06-2009,2906,354000,house,3
01-07-2009,2602,524000,house,2
02-07-2009,2905,332500,house,2
03-07-2009,2913,362000,house,3
06-07-2009,2617,455000,house,3
07-07-2009,2602,492000,house,3
08-07-2009,2904,450000,house,4
09-07-2009,2906,379000,house,3
10-07-2009,2615,335000,house,3
13-07-2009,2905,354000,house,3
14-07-2009,2615,425500,house,4
15-07-2009,2615,417000,house,3
16-07-2009,2906,339000,house,3
17-07-2009,2906,387500,house,3
18-07-2009,2615,475000,house,4
19-07-2009,2913,451000,house,3
20-07-2009,2905,335000,house,3
21-07-2009,2913,420000,house,3
22-07-2009,2914,450000,house,4
23-07-2009,2905,416000,house,3
24-07-2009,2905,390000,house,3
25-07-2009,2614,575000,house,4
27-07-2009,2906,495000,house,5
29-07-2009,2902,395000,house,3
30-07-2009,2615,495000,house,4
31-07-2009,2913,339000,house,3
01-08-2009,2617,488000,house,3
03-08-2009,2905,400000,house,3
04-08-2009,2913,402000,house,3
05-08-2009,2615,365000,house,2
06-08-2009,2615,402500,house,3
07-08-2009,2906,365000,house,3
10-08-2009,2611,440100,house,3
11-08-2009,2906,362000,house,3
12-08-2009,2615,429000,house,4
13-08-2009,2905,359000,house,3
14-08-2009,2906,387100,house,3
17-08-2009,2906,355000,house,3
18-08-2009,2615,360000,house,3
19-08-2009,2906,315000,house,2
20-08-2009,2906,379000,house,3
21-08-2009,2914,511000,house,4
22-08-2009,2611,701000,house,4
23-08-2009,2905,600000,house,4
24-08-2009,2913,380000,house,3
25-08-2009,2906,436000,house,3
26-08-2009,2602,675000,house,4
27-08-2009,2611,430000,house,3
28-08-2009,2615,475000,house,4
29-08-2009,2906,382500,house,3
31-08-2009,2905,383000,house,3
01-09-2009,2611,425000,house,3
02-09-2009,2615,360000,house,3
03-09-2009,2617,498000,house,4
04-09-2009,2905,404000,house,3
05-09-2009,2904,437000,house,3
07-09-2009,2912,535000,house,4
08-09-2009,2906,390000,house,3
09-09-2009,2902,405000,house,3
10-09-2009,2914,390000,house,3
11-09-2009,2615,502723,house,4
12-09-2009,2615,428000,house,3
13-09-2009,2914,810000,house,4
14-09-2009,2906,324000,house,3
15-09-2009,2912,385000,house,3
16-09-2009,2615,332000,house,3
17-09-2009,2905,450000,house,3
18-09-2009,2615,447950,house,4
19-09-2009,2617,395000,house,3
20-09-2009,2914,685000,house,4
21-09-2009,2905,345580,house,4
22-09-2009,2905,399000,house,3
23-09-2009,2913,410000,house,3
24-09-2009,2615,377500,house,3
25-09-2009,2902,355000,house,3
26-09-2009,2617,429000,house,3
28-09-2009,2904,419000,house,3
29-09-2009,2904,338000,house,3
30-09-2009,2906,338000,house,3
01-10-2009,2905,375000,house,3
02-10-2009,2906,395000,house,3
03-10-2009,2605,851000,house,4
06-10-2009,2615,363500,house,3
07-10-2009,2906,340000,house,3
08-10-2009,2902,325000,house,2
09-10-2009,2906,397500,house,3
10-10-2009,2617,335000,house,2
11-10-2009,2612,1210000,house,4
12-10-2009,2615,435000,house,3
13-10-2009,2906,365000,house,3
15-10-2009,2902,455000,house,3
16-10-2009,2913,375000,house,3
17-10-2009,2611,495000,house,4
19-10-2009,2905,410000,house,3
20-10-2009,2906,385000,house,3
21-10-2009,2615,410000,house,3
23-10-2009,2906,345000,house,3
24-10-2009,2906,417500,house,3
26-10-2009,2905,356000,house,3
27-10-2009,2913,370000,house,3
28-10-2009,2615,389950,house,3
29-10-2009,2904,421000,house,3
30-10-2009,2906,340000,house,3
31-10-2009,2617,455000,house,3
01-11-2009,2611,580000,house,4
02-11-2009,2902,380000,house,3
04-11-2009,2614,416000,house,3
05-11-2009,2615,317000,house,3
06-11-2009,2905,415000,house,3
07-11-2009,2615,440000,house,3
09-11-2009,2905,401000,house,3
10-11-2009,2906,375000,house,3
11-11-2009,2914,465000,house,4
12-11-2009,2906,420000,house,3
13-11-2009,2902,450000,house,3
14-11-2009,2615,417000,house,3
16-11-2009,2615,350000,house,3
17-11-2009,2902,360000,house,3
18-11-2009,2617,435000,house,3
19-11-2009,2906,545000,house,4
20-11-2009,2905,360000,house,3
23-11-2009,2604,398000,house,2
24-11-2009,2615,408500,house,3
25-11-2009,2903,427500,house,4
26-11-2009,2906,370000,house,3
27-11-2009,2904,690150,house,4
28-11-2009,2904,505000,house,3
30-11-2009,2906,387000,house,3
01-12-2009,2914,395000,house,3
02-12-2009,2615,335000,house,3
03-12-2009,2615,375000,house,3
04-12-2009,2905,379000,house,3
05-12-2009,2617,460000,house,3
07-12-2009,2905,355000,house,3
08-12-2009,2904,375000,house,3
09-12-2009,2615,435000,house,3
10-12-2009,2906,403000,house,3
11-12-2009,2615,334000,house,3
12-12-2009,2602,555000,house,3
14-12-2009,2913,360000,house,3
15-12-2009,2913,342000,house,2
16-12-2009,2617,655000,house,4
17-12-2009,2611,442500,house,3
18-12-2009,2615,454500,house,4
21-12-2009,2900,463500,house,3
22-12-2009,2615,432000,house,3
23-12-2009,2906,365000,house,3
24-12-2009,2617,405000,house,3
04-01-2010,2615,435000,house,3
05-01-2010,2904,712000,house,4
06-01-2010,2617,435000,house,4
07-01-2010,2905,612500,house,4
08-01-2010,2614,420500,house,3
11-01-2010,2903,525000,house,4
13-01-2010,2617,519000,house,5
14-01-2010,2615,372500,house,2
18-01-2010,2617,580000,house,4
19-01-2010,2905,380000,house,3
20-01-2010,2906,385000,house,3
21-01-2010,2914,455000,house,3
22-01-2010,2913,327500,house,2
25-01-2010,2914,440000,house,4
27-01-2010,2913,380000,house,3
28-01-2010,2905,365000,house,3
29-01-2010,2906,360000,house,3
30-01-2010,2615,360000,house,3
01-02-2010,2615,400000,house,3
02-02-2010,2615,373500,house,3
03-02-2010,2906,485500,house,4
04-02-2010,2906,460000,house,4
05-02-2010,2615,480000,house,4
06-02-2010,2903,547000,house,3
07-02-2010,2605,675000,house,4
08-02-2010,2913,422000,house,3
09-02-2010,2912,695000,house,4
10-02-2010,2902,551000,house,4
11-02-2010,2903,465000,house,3
12-02-2010,2615,411000,house,3
13-02-2010,2602,725000,house,3
15-02-2010,2905,445000,house,3
16-02-2010,2905,415100,house,5
17-02-2010,2615,425000,house,3
18-02-2010,2615,450000,house,4
19-02-2010,2611,501000,house,4
20-02-2010,2902,356000,house,2
22-02-2010,2611,535000,house,3
23-02-2010,2905,415000,house,3
24-02-2010,2906,395000,house,3
25-02-2010,2902,437000,house,4
26-02-2010,2615,337000,house,2
27-02-2010,2902,423950,house,3
28-02-2010,2602,575000,house,4
01-03-2010,2906,395000,house,3
02-03-2010,2905,525000,house,3
03-03-2010,2912,461700,house,3
04-03-2010,2905,515500,house,3
05-03-2010,2906,385000,house,3
06-03-2010,2611,590000,house,3
09-03-2010,2913,435000,house,3
10-03-2010,2913,370000,house,3
11-03-2010,2906,415000,house,3
12-03-2010,2905,380000,house,2
13-03-2010,2611,540000,house,3
14-03-2010,2912,510000,house,3
15-03-2010,2615,447000,house,3
16-03-2010,2615,380000,house,3
17-03-2010,2912,418000,house,3
18-03-2010,2914,435000,house,3
19-03-2010,2615,419000,house,4
20-03-2010,2905,387000,house,3
22-03-2010,2615,401622,house,3
23-03-2010,2906,385000,house,3
24-03-2010,2903,441000,house,3
25-03-2010,2906,406500,house,3
26-03-2010,2913,440000,house,3
27-03-2010,2615,427000,house,3
29-03-2010,2906,389950,house,3
30-03-2010,2602,367000,house,2
31-03-2010,2905,419000,house,3
01-04-2010,2906,359000,house,3
02-04-2010,2607,850000,house,4
03-04-2010,2614,665000,house,4
06-04-2010,2617,515500,house,4
07-04-2010,2617,500000,house,3
08-04-2010,2902,409000,house,3
09-04-2010,2905,465100,house,3
10-04-2010,2913,622500,house,4
12-04-2010,2617,490000,house,4
13-04-2010,2905,547500,house,4
14-04-2010,2913,410000,house,3
15-04-2010,2611,349000,house,2
16-04-2010,2902,490000,house,4
17-04-2010,2611,485000,house,3
19-04-2010,2615,390000,house,2
20-04-2010,2615,460000,house,4
21-04-2010,2615,430000,house,3
22-04-2010,2904,431500,house,2
23-04-2010,2615,345000,house,3
24-04-2010,2902,525000,house,3
27-04-2010,2902,369950,house,3
28-04-2010,2614,400000,house,3
29-04-2010,2602,570000,house,3
30-04-2010,2903,461500,house,3
01-05-2010,2615,390000,house,3
03-05-2010,2607,280000,house,1
04-05-2010,2615,345000,house,3
05-05-2010,2913,400000,house,3
06-05-2010,2614,480000,house,3
07-05-2010,2615,350000,house,3
08-05-2010,2603,1670000,house,4
10-05-2010,2903,386000,house,3
11-05-2010,2904,465000,house,4
12-05-2010,2906,782000,house,5
13-05-2010,2913,412000,house,3
14-05-2010,2611,417000,house,2
15-05-2010,2602,773000,house,2
17-05-2010,2902,447000,house,3
18-05-2010,2617,500000,house,4
19-05-2010,2615,368000,house,3
20-05-2010,2905,428000,house,3
21-05-2010,2600,965000,house,3
22-05-2010,2902,470000,house,3
24-05-2010,2615,450000,house,5
25-05-2010,2615,390000,house,3
26-05-2010,2913,210000,house,5
27-05-2010,2905,435000,house,3
28-05-2010,2905,370000,house,3
29-05-2010,2902,535000,house,4
31-05-2010,2905,385000,house,3
01-06-2010,2906,363000,house,2
02-06-2010,2615,390000,house,4
03-06-2010,2905,375000,house,3
04-06-2010,2904,450000,house,3
05-06-2010,2614,422500,house,2
07-06-2010,2906,439950,house,3
08-06-2010,2905,425000,house,3
09-06-2010,2905,360000,house,3
10-06-2010,2913,394000,house,3
11-06-2010,2606,840000,house,4
12-06-2010,2903,480000,house,3
15-06-2010,2913,360000,house,3
16-06-2010,2902,345000,house,3
17-06-2010,2905,379000,house,3
18-06-2010,2914,315000,house,1
19-06-2010,2913,385000,house,3
21-06-2010,2615,465000,house,3
22-06-2010,2602,735000,house,3
23-06-2010,2615,425000,house,3
24-06-2010,2615,320000,house,3
25-06-2010,2902,370000,house,3
26-06-2010,2902,415000,house,3
28-06-2010,2906,383000,house,3
29-06-2010,2615,352500,house,2
30-06-2010,2902,432000,house,3
01-07-2010,2902,439950,house,3
02-07-2010,2906,360000,house,3
05-07-2010,2914,499950,house,4
06-07-2010,2905,406370,house,3
07-07-2010,2606,320000,house,1
08-07-2010,2906,488000,house,4
09-07-2010,2615,426000,house,3
10-07-2010,2903,480000,house,4
12-07-2010,2906,388000,house,3
13-07-2010,2912,445000,house,3
14-07-2010,2614,410000,house,3
15-07-2010,2615,459150,house,4
16-07-2010,2905,482000,house,3
17-07-2010,2614,582000,house,4
19-07-2010,2914,418000,house,3
20-07-2010,2905,423500,house,3
21-07-2010,2914,432000,house,3
22-07-2010,2615,385000,house,3
23-07-2010,2906,380000,house,3
24-07-2010,2617,460000,house,3
26-07-2010,2906,407000,house,3
27-07-2010,2914,500000,house,4
28-07-2010,2906,395000,house,3
29-07-2010,2905,425000,house,3
30-07-2010,2902,395000,house,3
31-07-2010,2612,935000,house,3
02-08-2010,2913,349950,house,3
03-08-2010,2614,395000,house,3
04-08-2010,2905,385000,house,3
05-08-2010,2902,360000,house,3
06-08-2010,2913,395000,house,3
07-08-2010,2615,357500,house,4
09-08-2010,2905,357000,house,3
10-08-2010,2615,410000,house,3
11-08-2010,2914,562500,house,4
12-08-2010,2615,460000,house,3
13-08-2010,2615,539000,house,3
14-08-2010,2614,535000,house,4
16-08-2010,2906,500000,house,4
17-08-2010,2905,345000,house,1
18-08-2010,2906,378000,house,3
19-08-2010,2913,340000,house,2
20-08-2010,2617,405000,house,3
21-08-2010,2912,550000,house,4
23-08-2010,2913,374600,house,3
24-08-2010,2617,430000,house,3
25-08-2010,2913,755000,house,4
26-08-2010,2615,485000,house,4
27-08-2010,2905,431625,house,3
28-08-2010,2615,515000,house,4
29-08-2010,2906,575000,house,4
30-08-2010,2913,350000,house,2
31-08-2010,2614,455000,house,3
01-09-2010,2906,382500,house,3
02-09-2010,2615,420000,house,5
03-09-2010,2906,515000,house,4
04-09-2010,2902,448500,house,3
06-09-2010,2906,388000,house,4
07-09-2010,2615,385000,house,3
08-09-2010,2617,355000,house,3
09-09-2010,2906,415000,house,3
10-09-2010,2906,350000,house,2
11-09-2010,2904,511000,house,3
13-09-2010,2615,390000,house,3
14-09-2010,2913,429950,house,3
15-09-2010,2615,418000,house,3
16-09-2010,2905,417500,house,3
17-09-2010,2617,412000,house,3
18-09-2010,2914,405000,house,3
20-09-2010,2906,446000,house,3
21-09-2010,2606,110000,house,4
22-09-2010,2902,448000,house,3
23-09-2010,2906,341000,house,3
24-09-2010,2902,430000,house,3
25-09-2010,2906,435000,house,3
26-09-2010,2906,545000,house,4
28-09-2010,2906,360000,house,3
29-09-2010,2905,405000,house,3
30-09-2010,2906,369950,house,3
01-10-2010,2906,392000,house,3
02-10-2010,2903,535000,house,4
05-10-2010,2905,470000,house,3
06-10-2010,2611,534000,house,4
07-10-2010,2902,433500,house,4
08-10-2010,2607,349000,house,2
09-10-2010,2611,538000,house,2
11-10-2010,2617,445000,house,3
12-10-2010,2913,349950,house,2
13-10-2010,2903,403200,house,3
14-10-2010,2912,516000,house,4
15-10-2010,2905,469000,house,3
16-10-2010,2615,565000,house,4
18-10-2010,2905,570000,house,4
19-10-2010,2615,444000,house,3
